"!<","op"
"WEEK",
"WEEKDAY",
"WHEN",
"WHERE","state"
"WHILE",
"WITH","state"
"WORK",
"WRITE",
"YEAR",
"YEARDAY",
